asin,title,price,url,category,batch_number
"B0DTZ4GBFT","PAWFECTCHEW - Masticables sin caca para perros, coprofagia y disuasión para comer heces con probióticos, enzimas digestivas y apoyo para el aliento, evita comer caca de perro, fabricado en Estados","$911.91","","Productos para animales",9
"B0FJ88D2SS","Caja de arena automática para gatos autolimpiante, control de aplicación, control de peso, ultra silenciosa, mediana para gatos y gatitos, caja de arena segura y antipellizcos, color gris","$6,672.72","","Productos para animales",9
"B0DG5LK4VW","Luz de Acuario para Peceras, Temporizador 24/7 DIY, Memoria de Apagado, 7 Filas LED Seaoura Luces de Espectro Completo, 8 Colores, 20 Brillos, Ajustable para Planta Agua Dulce 120-137CM","$2,171.66","","Productos para animales",9
"B0D7N8H2LP","WLR Industries Hanna Hi774 Colorímetro De Rango Ultra Bajo De Fosfato para Aplicaciones De Agua Marina Y Salada Comprobador De Fosfato","$1,866.25","","Productos para animales",9
"B0DPT7CHZC","Moryimi - cubeta de basura para caca de perro en el exterior, bote de basura de 3.1 galones con dispensador de bolsa de basura, bote de basura para caca de perro al aire última intervensión con tapa,","$1,219.48","","Productos para animales",9
"B0FBKB4XHD","Aodisman - Escaleras para perros y gatos pequeños, 3 pasos extra anchos antideslizantes para mascotas para sofá, sofá y silla, gris, 15.7 pulgadas de alto","$1,294.03","","Productos para animales",9
"B08C7Z69DX","Tropic Marin All for Reef","$1,458.48","","Productos para animales",9
"B0CPLLGNB4","Puerta de gato extra alta de 71 pulgadas de alto, puerta de seguridad para gatos, puerta de seguridad para gatos, puerta doble para mascotas, barrera de interior para mascotas, sin perforación, puerta","$4,720.41","","Productos para animales",9
"B004BGJFKK","Blue Lake and Pond Dye - 1 Gallon","$1,271.26","","Productos para animales",9
"B08THGBXZP","WORMSKING 5LB Dried Black Soldier Fly Larvae, High Calcium for Chickens","$1,220.20","","Productos para animales",9
"B00028ZMEO","Grannick's Bitter Apple for Dogs Spray Bottle, 16 Ounces","$751.78","","Productos para animales",9
"B09H3GWF6N","UnRuffledRx Spray Para Pájaros Con Aloe Vera, 8 Oz, Rocío Humectante Seguro Para Pájaros, Seguro Si Se Ingiere, Acondiciona Las Plumas, Suave Para Uso Diario, Aplicación En Rocío Fino, Natural, Sin Ol","$915.03","","Productos para animales",9
"B095JYP6XS","PETKAB00 Juego de estantes y percas para gatos flotantes de madera para escalar muebles, gato montado en la pared, 2 casas para gatos y 4 estantes para gatos y 2 escaleras y 1 poste rascador para gatos","$3,301.72","","Productos para animales",9
"B0DGMQ41C6","WoofBite - Varilla de masticar indestructible – Reemplazo de por vida – Masticadores agresivos, raza mediana y grande, juguetes de goma natural no tóxicos para perros, amarillo (color altamente","$808.83","","Productos para animales",9
"B08THC95MJ","Mosca negra seca para pollos de 2 libras","$838.08","","Productos para animales",9
"B0CRFM5XSF","Estantes de pared para gatos con 3 pasos, estantes de escalada para gatos para montaje en pared, muebles para gatos montados en la pared, estantes de pared para gatos, estantes de pared para gatos,","$1,415.33","","Productos para animales",9
"B0D8SXPRWH","Nityers Comedero automático para Perros con rotación de cámara - Comedero automático para Gatos de 8 l/34 Tazas, vídeo 1080P con visión Nocturna, comedero para Mascotas WiFi 5G con aplicación, grabac","$2,762.82","","Productos para animales",9
"B0CRTWTXL8","NAOEDEAH - Soporte de cerdo portátil para cazador de cerdos de acero inoxidable para control de animales, herramienta para ganado, equipo de granja","$1,079.72","","Productos para animales",9
"B0CNG6Z2DC","Lilyang Waterer automático de pollo controlado por flotador para agua continua, riego de pollo no empotrado con adaptadores de extensión de manguera, riego automático de aves de corral para pollo,","$1,344.37","","Productos para animales",9
"B00II6XPOQ","Chris Christensen Ice on Ice Conditioner with Sunscreen","$884.10","","Productos para animales",9
"B09VYDH5KL","Stella & Chewy's Stella’s Shredrs Cage Free Chicken & Salmon Recipe in Broth, 2.8 oz. Pouches (Pack of 24)","$1,889.38","","Productos para animales",9
"B01EUP8ZG6","Hatortempt 5 lbs Dried Mealworms for Wild Bird Chicken Fish","$1,469.99","","Productos para animales",9
"B09PFXWZLJ","Virekm Rocas de río, guijarros decorativos decorativos, piedras de jardinería de jardín, relleno de grava para decoración del hogar, cama de flores, peceras, floreros, suculentas","$485.20","","Productos para animales",9
"B001ATFGUY","Urine Off Fórmula para Eliminar olores y Manchas, 1 galón","$1,528.47","","Productos para animales",9
"B00CRKLOHO","Chris Christensen After U Bathe Conditioner","$834.00","","Productos para animales",9
"B0CYYX1PKS","Nekosan Rascador para gatos en forma de T para gatos de interior, protector de muebles para gatos de doble cara, 23.6 x 16.9 x 9.6 pulgadas, grande, rascador de cartón para gatos con bola de juguete","$1,144.20","","Productos para animales",9
"B0CLFW37Y9","FOURPAW - Arena de tofu para gatos original, de secado rápido y desenfundable, sin perfume, sin polvo, control de olor, ultra absorbente, arena para gatos de bajo rastreo, pellets de 2 mm, 5 libras","$791.57","","Productos para animales",9
"B00FH3OPN8","Chris Christensen Just Divine Brushing Spray,16 fl. oz.","$854.38","","Productos para animales",9
"B07YNH1DWV","SportPet Designs - Juego de 4 perreras de plástico resistentes (CM-10057-CS01)","$1,057.44","","Productos para animales",9
"B0054Y0FH0","Tressa Watercolors Color Maintenance Mocha Drench Shampoo 8.5 oz by Tressa","$990.54","","Productos para animales",9
"B09ZFFR7SV","Sustainably Yours - Arena para Gatos, fórmula de Grano Mixto, 10 Libras, sin Perfume, Gatos domésticos, de Alto Rendimiento, respetuosa con el Medio Ambiente","$1,096.26","","Productos para animales",9
"B0BFBVNZ4B","Fox valley Fórmula Day-One 40/25 para mapaches","$2,070.02","","Productos para animales",9
"B0BCK286PC","YOCAN Puerta plegable para mascotas independiente para perros, 2 paneles de madera de 24 pulgadas","$1,470.71","","Productos para animales",9
"B0CMDDP9HR","CQAIRIOU - Bandeja de comedero para pájaros montada en la Pared, Acero Inoxidable de 11.8 Pulgadas, para pájaros Salvajes Exteriores, Plataforma de Montaje en Mesa, Bandeja de Semillas de Malla con","$903.04","","Productos para animales",9
"B072FK9V1R","Luuup Caja de arena – 3 bandejas tamizadoras para gatos – Fácil de limpiar con revestimiento antiadherente – Diseño elegante de lados altos con protector de derrames (15.4 x 20.2 x 7.5 pulgadas)","$1,603.99","","Productos para animales",9
