also_appears_in,asin,batch_number,category,disponibilidad_mx,error_verificacion_mx,extracted_at,fecha_verificacion_mx,precio_actual_mx,price,title,url_mx,vendedor_actual_mx
,B0D496H9YV,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.623Z,2025-11-03T21:53:37.454Z,4770.51,"$5,044.76","Aqara Smart Lock U300, cerradura de puerta de entrada sin llave con asa, rosca de materia con llaves Apple Home, teclado de visualización táctil, bloqueo de palanca inteligente compatible con Apple",https://www.amazon.com.mx/dp/B0D496H9YV,BEST SUPPLY
,B07L57MTF6,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:53:45.886Z,3752.66,"$4,106.72","Convertidor de voltaje de 120 V a 100 V, 1600 vatios, convertidor de voltaje toroidal reducido para electrodomésticos japoneses utilizados en Estados Unidos [certificado CE, CQC]",https://www.amazon.com.mx/dp/B07L57MTF6,HNEN
,B0DKNK53YF,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:53:54.568Z,828.41,"$1,180.88","Philips 2 Pack Solar Security Light Outdoor 302 LED 1200lm, Solar-Powered Waterproof Wall-Mounted Floodlight w/PIR Motion Sensor, 3 Heads, IP65 Waterproof, 3 Modes",https://www.amazon.com.mx/dp/B0DKNK53YF,Amazon Estados Unidos
,B01FSMUDPQ,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:02.834Z,903.45,"$1,216.60",SKROSS Pro World Travel - Adaptador de Viaje con enchufes a Tierra,https://www.amazon.com.mx/dp/B01FSMUDPQ,Amazon Estados Unidos
,B0F6TLWWM4,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:11.337Z,435.03,$688.97,"foco LED roja para dormir regulable, foco 100% de bloqueo de luz azul de 650 nm que promueve la melatonina, bombillas A19 de 7 W E26 para recámara, cuarto de bebé, 4 paquetes",https://www.amazon.com.mx/dp/B0F6TLWWM4,Amazon Estados Unidos
,B0DB5FTP82,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:19.182Z,669.15,$915.03,"WARSUN - Linterna LED de bolsillo compacta y multimodo, 675 lúmenes, recargable por USB-C, IPX4, material doble, con modo estroboscópico rojo/azul, ideal para uso diario y viajes (2)",https://www.amazon.com.mx/dp/B0DB5FTP82,Amazon Estados Unidos
,B0CCP46LWX,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:28.151Z,1323.49,"$1,618.62","EPTTECH Smart TLC2206 Indicador wifi de monitor de nivel de líquido, agua, aceite, combustible con control remoto, sensor Tuya inteligente",https://www.amazon.com.mx/dp/B0CCP46LWX,Amazon Estados Unidos
,B0DQ599TVR,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:36.480Z,575.95,$602.67,"TECSIX - Adaptador de viaje universal en todo el mundo, adaptador de enchufe europeo con 2 USB C, 2 salidas USB A y múltiples CA, convertidor de corriente internacional para UE EE. UU., Reino Unido",https://www.amazon.com.mx/dp/B0DQ599TVR,Rendomin
,B0DBRDCHWV,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.624Z,2025-11-03T21:54:44.510Z,1020.15,"$1,105.85",LAVA The Original Lamp - Lámpara Techno cromado de 14.5 pulgadas - Lámpara clásica de movimiento líquido - Líquido rosa y azul - Artículo #2097 (Exclusivo de Amazon),https://www.amazon.com.mx/dp/B0DBRDCHWV,NEW AGE SHOPPING
,B09B1B6J9S,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:54:54.083Z,995.11,"$1,040.64","EASZZZ - Lámpara de noche para bebé, lámpara de noche para lactancia, suave sin BPA, silicona táctil para cuidar los ojos, diseño de fácil tirón, atenuación continua, paquete de 1",https://www.amazon.com.mx/dp/B09B1B6J9S,IY Network
,B0CBTGTC2R,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:03.082Z,754.54,$789.41,"EPICKA - Adaptador de viaje universal, cargador de pared con adaptador de enchufe internacional con 20 W USB-C PD y USB-A QC, adaptador de tamaño de bolsillo todo en uno para Estados Unidos, EU UK AUS (bolsillo 111, negro)",https://www.amazon.com.mx/dp/B0CBTGTC2R,DUKKI LLC
,B0DK4XJ9HF,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:11.372Z,2301.12,"$2,316.22","HOTO SNAPBLOQ™ S-A01 - Mini destornillador eléctrico de 3,7 V con 56 puntas y 3 ajustes de par, mini destornillador de precisión, 250 RPM, luz LED más brillante, kit de herramientas de reparación para",https://www.amazon.com.mx/dp/B0DK4XJ9HF,NEW AGE SHOPPING
,B08LDBFQ4C,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:20.779Z,685.08,$686.05,"S7 l5-30r to 5-15p, 20 Inch Power Cord Plug Adapter 15Amp 5-15P Male to 30Amp L5-30R Female With Twist Lock",https://www.amazon.com.mx/dp/B08LDBFQ4C,Corner Stone LLC
,B0FHBCBZ9Y,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:27.718Z,2675.18,"$2,688.27","Bucamao - Línea de vida autoretráctil de 50 pies, alambre de acero de protección contra caídas SRL, cordón retráctil de seguridad de carcasa de aluminio, equipo de techo de EPP",https://www.amazon.com.mx/dp/B0FHBCBZ9Y,Binglu
,B0FD2HTQB8,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:35.025Z,806.46,"$1,365.71","Lava The Original Lamp - Lámpara de movimiento líquido de cohete retro de 14.5 pulgadas, cera amarilla y líquido morado - Artículo #2391 (Exclusivo de Amazon)",https://www.amazon.com.mx/dp/B0FD2HTQB8,Amazon Estados Unidos
,B0CZY5JVKY,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:00.625Z,2025-11-03T21:55:43.237Z,766.02,$779.10,"Rutland Products Dry Mix 21125 Mortero refractario, 2550F, cemento de fuego curado al aire, gris oscuro, tina de 2.5 libras",https://www.amazon.com.mx/dp/B0CZY5JVKY,KRONOS STORE
,B0CGXFPWNJ,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.502Z,2025-11-03T21:55:51.084Z,473.08,$688.97,"43-54-1220 - Protector de seguridad para amoladora angular Milwauke 2780-20, 2781-20, 6117-30, 6117-31, 6124-30 (protector de hoja de rueda de 5 pulgadas)",https://www.amazon.com.mx/dp/B0CGXFPWNJ,Amazon Estados Unidos
,B0CKP4SYL7,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.502Z,2025-11-03T21:55:59.278Z,859.55,"$1,266.94","Generador de línea de módulo de línea verde de alta potencia enfocable de 520 nm, 5 V, localizador lineal verde de alta potencia, para corte y grabado posicionamiento",https://www.amazon.com.mx/dp/B0CKP4SYL7,Amazon Estados Unidos
,B0DNM798MB,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.503Z,2025-11-03T21:56:07.864Z,724.35,$774.07,"Longriver R7 - Filtro de ducha de alta capacidad para agua dura, 99,99 %, elimina el cloro, metales pesados y sustancias nocivas, suavizante de agua de ducha, mejora tu piel y cabello, chapado en",https://www.amazon.com.mx/dp/B0DNM798MB,SRKSB LLC
,B0C6PKTKXP,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.503Z,2025-11-03T21:56:16.968Z,1875.44,"$1,973.89","Aceite de Tung puro de 3.78 L para madera para exteriores/interiores, sellador de madera de grado alimenticio, aceite de Tung para madera seguro para alimentos, sellador impermeable para madera,",https://www.amazon.com.mx/dp/B0C6PKTKXP,Rendomin
,B0FMDMZTP6,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.503Z,2025-11-03T21:56:29.766Z,890.85,"$1,707.56","Herramienta de ensanchamiento de valla de alambre de acero resistente, multiusos, para valla de alambre de púas y alambre liso, herramienta de reparación de empalme y estiramiento de alambre de 32",https://www.amazon.com.mx/dp/B0FMDMZTP6,Amazon Estados Unidos
,B08LYT7829,5,Herramientas y Mejoras del Hogar,disponible,,2025-11-03T14:59:12.503Z,2025-11-03T21:56:37.609Z,2570.07,"$2,586.86","Muzata - Barandilla de aluminio de 6 pies con 6 pulgadas, barandilla de cable negro, barandilla superior, escalera, interior y exterior, HL10 BPA",https://www.amazon.com.mx/dp/B08LYT7829,ONEBLOOD STORE
