also_appears_in,asin,batch_number,category,disponibilidad_mx,error_verificacion_mx,extracted_at,fecha_verificacion_mx,precio_actual_mx,price,title,url_mx,vendedor_actual_mx
,B09PR99NRQ,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.154Z,2025-11-19T00:42:20.201Z,591.57,$613.45,"KUKKA essential oils Kukka Aceite De Clavo Para El Cuidado Bucal, Dientes Y Encías Aceite Esencial De Clavo - Aceite Esencial De Clavo 100% Natural Para El Cuidado Bucal - Aceite De Clavo Na",https://www.amazon.com.mx/dp/B09PR99NRQ,MARVEL INC.
,B07ZG8F8QZ,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.154Z,2025-11-19T00:42:28.524Z,596.01,$662.84,Gold Standard Premium - Spray protector de zapatos repelente al agua - 5 oz. Protector de zapatos de gamuza con fórmula impermeable,https://www.amazon.com.mx/dp/B07ZG8F8QZ,SHERIFF EXPRESS
,B093QLDBQW,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:42:37.000Z,741.23,$640.93,"Veggie Wash - Lavado de frutas y verduras, 16 Fl Oz (Pack of 2)",https://www.amazon.com.mx/dp/B093QLDBQW,✨Aurorix A
,B0DJMJS2Y3,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:42:46.189Z,457,$532.19,"Aceite de ricino 16 fl oz (botella de vidrio) Original sin refinar Una enorme botella de vidrio con bomba Aceite para el cabello y el cuerpo 100% puro y natural, prensado en frío y sin hexano",https://www.amazon.com.mx/dp/B0DJMJS2Y3,Valley Hills MX
,B07Y2NGPJT,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:42:54.767Z,1517.4,"$1,543.10",ThinOptics - anteojos de lectura rectangulares,https://www.amazon.com.mx/dp/B07Y2NGPJT,New Shire LLC
,B09F7PZV4Q,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:02.395Z,651.86,$708.39,WELCOS KWAILNARA Milk Body Lotion 560 g / 19.75 oz. (Strawberry),https://www.amazon.com.mx/dp/B09F7PZV4Q,DUKKI LLC
,B0BNC86YDN,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:10.059Z,1345.31,"$1,444.82","Bastón de madera hecho a mano para hombres y mujeres, elegantes bastones de madera natural con correa de muñeca y puntas de goma, 36 pulgadas",https://www.amazon.com.mx/dp/B0BNC86YDN,Luna Local
,B08DNG8XQZ,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:18.273Z,868.98,$862.05,"Reshoevn8r Premium Shoe and Sneaker Cleaner Solution, for Suede, Whites, Leather, Nubuck and Most Materials, 8 Oz",https://www.amazon.com.mx/dp/B08DNG8XQZ,GREENJIN
,B0DM2284X8,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:25.712Z,502.8,$563.35,"VOERUY- 【EXFOLIANTE DETOX PARA AXILAS】¡Dígale adiós a la acumulación persistente, los olores desagradables y el tono de piel desigual con nuestro exfoliante para axilas con árbol de té y menta! Diseña",https://www.amazon.com.mx/dp/B0DM2284X8,M&H Customer Friendly Store
,B08TFDN7F3,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:34.056Z,871.72,$889.36,"Reshoevn8r - Protector de zapatos impermeable para agua y manchas, repelente al agua para tenis, gamuza, lona, piel o zapatos blancos, Transparente, 6.5 Oz",https://www.amazon.com.mx/dp/B08TFDN7F3,Red Pure
,B071ZLPCYY,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.155Z,2025-11-19T00:43:42.459Z,783.74,$813.38,Samsara Herbs Polen de pino en polvo cosechado salvaje – 99% de pared celular agrietada (4 onzas/114 g),https://www.amazon.com.mx/dp/B071ZLPCYY,MARVEL INC.
,B07P15RVRP,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.156Z,2025-11-19T00:43:51.908Z,507,$538.18,"SmellWell Desodorantes para zapatos, carbón de bambú activado + minerales, inserto de ambientador natural para zapatos, bolsos, guantes y más, Perfumado - Black Zebra, 2 Count (Pack of 1)",https://www.amazon.com.mx/dp/B07P15RVRP,Brownstone Brooklyn
,B0DZMT9YCR,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.156Z,2025-11-19T00:44:00.095Z,4644.37,"$3,731.31",JZBRAIN Leg shiasu,https://www.amazon.com.mx/dp/B0DZMT9YCR,BROWN LEAVES LLC
,B000IYYLC6,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.156Z,2025-11-19T00:44:06.996Z,747,$743.73,"Hagerty Silver Foam: Esmalte de Plata Suave, Elimina Suavemente el deslustre de la esterlina, la Placa de Plata y el Oro, 36 onzas",https://www.amazon.com.mx/dp/B000IYYLC6,Marca: Hagerty
,B0DQKYJWKN,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.156Z,2025-11-19T00:44:15.872Z,520.17,$538.18,ANNICEE Toallitas Húmedas Mini Tamaño De Viaje Paquete De 8 64 Unidades En Total,https://www.amazon.com.mx/dp/B0DQKYJWKN,SRKSB LLC
,B002PLPSG8,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:08.156Z,2025-11-19T00:44:23.899Z,425,$856.29,"Saphir Etalon Noir Jabón – Limpia, restaura y protege el piel de la silla de montar con glicerina – 3.2 onzas, Claro, 100ml",https://www.amazon.com.mx/dp/B002PLPSG8,Cuida Tu Calzado
,B08L9G71ZV,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:17.658Z,2025-11-19T00:44:31.267Z,1144,"$1,191.43","LMNOOP “Lmnoop Pomada Reparadora Perianal: Tratamientos Para Fístula Anal, Fisura Anal, Absceso Perianal, Alivio Rápido Del Dolor, Ardor, Picazón, Hinchazón, Sangrado E Incomodidad Por Tiña",https://www.amazon.com.mx/dp/B08L9G71ZV,Most Amazing Brands
,B0F2MJYL49,10,Salud y Cuidado Personal,disponible,,2025-11-03T15:20:17.658Z,2025-11-19T00:44:39.037Z,1267.45,"$1,419.65","New Fi Bug Zapper - Zapper para Exteriores, mosquiteros con luz LED, para Interiores y Exteriores, trampas eléctricas para Moscas de Insectos, enchufa el Asesino de Mosquitos para Patio y Patio",https://www.amazon.com.mx/dp/B0F2MJYL49,SRKSB LLC
