also_appears_in,asin,batch_number,category,disponibilidad_mx,disponibilidad_usa,error_verificacion_mx,error_verificacion_usa,extracted_at,fecha_verificacion_mx,fecha_verificacion_usa,precio_actual_mx,precio_actual_usd,price,title,url_mx,url_usa,vendedor_actual_mx,vendedor_actual_usa
,B08KXVYGSF,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.136Z,2025-10-27T15:31:10.734Z,2025-10-28T23:01:40.763Z,3110.83,,"$3,081.80","M-AUDIO BX3 Pair - Monitores de estudio, ltavoces para PC de sobremesa 120 W para videojuegos, producción musical, transmisiones en directo, podcast",https://www.amazon.com.mx/dp/B08KXVYGSF,https://www.amazon.com/dp/B08KXVYGSF,SRKSB LLC,
,B0CM8C2W2B,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.136Z,2025-10-27T15:31:18.632Z,2025-10-28T23:01:49.032Z,1224.7,39.99,"$1,251.55","Simplurfi - Soporte de micrófono múltiple para soporte de micrófono, bandeja cuadrada con capacidad para hasta 8 micrófonos en el escenario organizador y exhibición, 8 anillos antivuelcos incluidos",https://www.amazon.com.mx/dp/B0CM8C2W2B,https://www.amazon.com/dp/B0CM8C2W2B,Amazon Estados Unidos,Simplurfi US
,B0D7YV8FSG,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.136Z,2025-10-27T15:31:26.617Z,2025-10-28T23:01:56.708Z,2170.78,,"$2,462.05","MAHANCRIS - Soporte para guitarra, soporte acústico, guitarra eléctrica, bajo, soporte múltiple para guitarras, accesorios de amplificador de guitarra, para estudio de música en casa, negro GSHB6701",https://www.amazon.com.mx/dp/B0D7YV8FSG,https://www.amazon.com/dp/B0D7YV8FSG,PEONYY,
,B0DK7BDWGW,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.136Z,2025-10-27T15:31:35.190Z,2025-10-28T23:02:04.456Z,568.15,12,$565.04,"Kit de boquilla de burbujas solo para la serie PMI SmokeNINJA PRO, incluyendo solución de burbujas de 100 ml, plato de burbujas, paño de limpieza y boquilla de burbujas",https://www.amazon.com.mx/dp/B0DK7BDWGW,https://www.amazon.com/dp/B0DK7BDWGW,SRKSB LLC,PMI Official Store
,B09Q5HWYG1,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.136Z,2025-10-27T15:31:42.876Z,2025-10-28T23:02:11.229Z,1511.36,47.99,"$1,549.81","SNIGJAT DJ Bag, Large Capacity DJ Cable Bag with 6 Pockets for Extension Cords, Mics, Pedals, Cable Bag for Musicians, DJ Equipment Gig Bag with Padded Shoulder Strap, Green",https://www.amazon.com.mx/dp/B09Q5HWYG1,https://www.amazon.com/dp/B09Q5HWYG1,SRKSB LLC,Luckyystarr
,B0CJF5763P,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:31:50.768Z,2025-10-28T23:02:19.056Z,2733.04,89,"$2,726.65","CALM CLANG - tazón de vidrio de chakra de 8 pulgadas A Note 432 Hz para el tercer ojo, color blanco puro, con funda de transporte y mazo de goma, gamuza",https://www.amazon.com.mx/dp/B0CJF5763P,https://www.amazon.com/dp/B0CJF5763P,SRKSB LLC,CALM CLANG US
,B09N98T135,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:31:58.406Z,2025-10-28T23:02:25.967Z,1488.4,43.99,"$1,507.87","SNIGJAT - Funda para teclado de 88 teclas suave (tamaño: 53 x 13.8 x 6.8 pulgadas), funda acolchada para piano con asa y correas de hombro ajustables, bolsa para teclado con 3 bolsillos para soporte",https://www.amazon.com.mx/dp/B09N98T135,https://www.amazon.com/dp/B09N98T135,SRKSB LLC,Luckyystarr
,B094668JWZ,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:06.334Z,2025-10-28T23:02:34.262Z,951,,$933.10,"Soporte de pared para guitarra con estante y soporte para púas, soporte de madera maciza con gancho de goma doble giratorio, soporte para colgar guitarra eléctrica acústica, bajo, banjo, accesorios de guitarra",https://www.amazon.com.mx/dp/B094668JWZ,https://www.amazon.com/dp/B094668JWZ,SRKSB LLC,
,B0CPDM69HN,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:13.523Z,2025-10-28T23:02:41.973Z,439.7,,$471.07,Filtro de viento para Tascam X6 X8 para auriculares Tascam X6 X8 (negro),https://www.amazon.com.mx/dp/B0CPDM69HN,https://www.amazon.com/dp/B0CPDM69HN,M&H Customer Friendly Store,
,B0CPDM3F45,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:22.214Z,2025-10-28T23:02:48.934Z,577.66,,$580.71,"Filtro de viento para Tascam X6 X8 para auriculares Tascam X6 X8, fundas de espuma para Tascam X6 X8 (blanco y negro)",https://www.amazon.com.mx/dp/B0CPDM3F45,https://www.amazon.com/dp/B0CPDM3F45,SRKSB LLC,
,B0CH9MRLCC,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:30.115Z,2025-10-28T23:02:55.987Z,1557.01,,"$1,597.28","BAHAMUT - Juego de tambor de bongos de madera de 6 pulgadas + 7 pulgadas, regalo para adultos principiantes, percusión ideal para educación y práctica, viene con llave de afinación y bolsa impermeable",https://www.amazon.com.mx/dp/B0CH9MRLCC,https://www.amazon.com/dp/B0CH9MRLCC,SRKSB LLC,
,B0D8NZ819H,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:37.582Z,2025-10-28T23:03:04.332Z,479.02,,$698.37,"ANYINELEC Fuente de alimentación de CA de 9 V para línea 6 POD GO Live DL4 Digitech RP GNX procesador de guitarra con pedal de retardo, compatible con Johnson PSS3120 J-Station, GNX3000, Genesis-3",https://www.amazon.com.mx/dp/B0D8NZ819H,https://www.amazon.com/dp/B0D8NZ819H,Amazon Estados Unidos,
,B0BHL5VQ7Z,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:45.608Z,2025-10-28T23:03:11.673Z,1451.75,41.99,"$1,469.81","SNIGJAT - Funda para teclado de 76 teclas, funda acolchada suave para piano con asa y correas de hombro ajustables, bolsa para teclado con 3 bolsillos para piezas de instrumentos y accesorios",https://www.amazon.com.mx/dp/B0BHL5VQ7Z,https://www.amazon.com/dp/B0BHL5VQ7Z,HNEN,Luckyystarr
,B0CQ53FC8R,7,Instrumentos Musicales,disponible,no disponible,,,2025-10-19T04:38:26.137Z,2025-10-27T15:32:54.749Z,2025-10-28T23:03:19.223Z,636.45,,$647.64,"DAZZLIFE - Colgador de pared horizontal para guitarra acústica y eléctrica, ukelele banjo (gris)",https://www.amazon.com.mx/dp/B0CQ53FC8R,https://www.amazon.com/dp/B0CQ53FC8R,SRKSB LLC,
,B09VBYXDSB,7,Instrumentos Musicales,disponible,disponible,,,2025-10-19T04:38:26.138Z,2025-10-27T15:33:02.156Z,2025-10-28T23:03:27.484Z,399,9.99,$646.61,Correa de hombro ancha ajustable de repuesto para bolso de lona,https://www.amazon.com.mx/dp/B09VBYXDSB,https://www.amazon.com/dp/B09VBYXDSB,Dailyjoysmartchoice,ZOOEASS Factory Shop
